State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,NA,NA,NA,5216
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Voters - Polling Percentage,NA,NA,NA,75.37
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Votes Polled On Evm,NA,NA,NA,1214128
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Deducted Votes From Evm,NA,NA,NA,29714
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Valid Votes Polled On Evm,NA,NA,NA,1184414
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Postal Votes Counted,NA,NA,NA,27041
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Postal Votes Deducted,NA,NA,NA,374
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Valid Postal Votes,NA,NA,NA,26667
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Total Valid Votes Polled,NA,NA,NA,1211081
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Test Votes Polled On Evm,NA,NA,NA,0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Votes Polled For 'Nota'(Including Postal),NA,NA,NA,24605
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Votes - Tendered Votes,NA,NA,NA,0
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Number,NA,NA,NA,2049
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Average Electors Per Polling,NA,NA,NA,804
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Dates(S) Of Re-Poll If Any,NA,NA,NA,NA
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,NA,NA,NA,NA
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Dates - Polling Date - 13/05/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Dates - Counting Date - 04/06/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,"Dates - Declaration Of
Result Date - 04/06/2024",NA,NA,NA,NA
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,NA,NA,NA,NA
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Candidate -Winner: - Gumma Thanuja Rani,NA,NA,NA,NA
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Winner - Votes ,NA,NA,NA,477005
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Party Runner-Up: - Bharatiya Janata Party,NA,NA,NA,NA
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Candidate Runner-Up: - Kothapalli Geetha,NA,NA,NA,426427
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Candidate Votes ,NA,NA,NA,NA
Andhra Pradesh-S01,Srikakulam-GEN,S01_2,Result - Votes- Margin,NA,NA,NA,327901
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Nominated,17,1,0,18
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Nomination Rejected,2,1,0,3
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Withdrawn,0,0,0,0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Contested,15,0,0,15
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Candidates - Forfeited Deposit,13,0,0,13
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - General,785568,799460,90,1585118
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - Overseas,74,14,0,88
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - Service,5482,306,0,5788
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Electors - Total,791124,799780,90,1590994
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - General,636780,648518,24,1285322
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Overseas,0,0,0,0
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Proxy,NA,NA,NA,1
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Postal,NA,NA,NA,22310
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Total,NA,NA,NA,1307633
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,NA,NA,NA,6612
